ticket,symbol,type,entry_price,lot_size,stop_loss,take_profit,open_time,close_time,close_price,profit,is_open
1,XAUUSD,BUY,4891.89990234375,0.06,4891.87490234375,4891.93990234375,2026-02-05 11:40:00,2026-02-05 11:45:00,4892.7998046875,539.94140625,False
2,XAUUSD,BUY,4889.89990234375,0.05,4889.87490234375,4889.93990234375,2026-02-05 11:50:00,2026-02-05 11:55:00,4889.10009765625,-399.90234375,False
3,XAUUSD,BUY,4862.5,0.05,4862.475,4862.54,2026-02-05 13:35:00,2026-02-05 13:40:00,4847.39990234375,-7550.048828125,False
