ticket,symbol,type,entry_price,lot_size,stop_loss,take_profit,open_time,close_time,close_price,profit,is_open
1,XAUUSD,BUY,4536.7001953125,0.15,4526.157212611607,4551.343226841518,2025-12-29 02:55:00,2025-12-29 03:05:00,4541.39990234375,7049.560546875,False
2,XAUUSD,BUY,4538.7998046875,0.12,4531.393952287946,4549.085710797991,2025-12-29 04:40:00,2025-12-29 05:40:00,4538.89990234375,120.1171875,False
