ticket,symbol,type,entry_price,lot_size,stop_loss,take_profit,open_time,close_time,close_price,profit,is_open
1,XAUUSD,SELL,4540.89990234375,0.03,4540.92490234375,4540.86490234375,2025-12-29 03:45:00,2025-12-29 03:50:00,4539.60009765625,389.94140625,False
2,XAUUSD,BUY,4538.7998046875,0.03,4538.7748046875,4538.8348046875,2025-12-29 04:40:00,2025-12-29 04:45:00,4538.2001953125,-179.8828125,False
3,XAUUSD,BUY,4538.89990234375,0.03,4538.87490234375,4538.93490234375,2025-12-29 05:40:00,2025-12-29 05:45:00,4537.0,-569.970703125,False
4,XAUUSD,BUY,4507.89990234375,0.03,4507.87490234375,4507.93490234375,2025-12-29 06:40:00,2025-12-29 06:45:00,4505.39990234375,-750.0,False
